lesson,order,title,jlpt,type,pattern,meaning_vi,usage,notes,examples,quiz
13,2,Muốn làm việc gì,N5,basic,Vます(bỏ ます) + たいです,Muốn làm V,Dùng để bày tỏ mong muốn thực hiện một hành động nào đó của người nói.,"Đối với các tha động từ đi cùng trợ từ を, ta có thể thay bằng trợ từ が.","[{""segments"": [{""kanji"": ""今"", ""reading"": ""いま""}, {""text"": "" ""}, {""kanji"": ""寝"", ""reading"": ""ね""}, {""text"": ""たいです。""}], ""vi"": ""Bây giờ tôi muốn ngủ.""}, {""segments"": [{""text"": ""すしが ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べたいです。""}], ""vi"": ""Tôi muốn ăn sushi.""}]","[{""question"": {""segments"": [{""kanji"": ""日本"", ""reading"": ""にほん""}, {""text"": ""へ ___ たいです。""}]}, ""choices"": [""行きます"", ""行き"", ""行く""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""ビールを ___ たいですか。""}]}, ""choices"": [""のみ"", ""のむ"", ""のみます""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""暑"", ""reading"": ""あつ""}, {""text"": ""いですから、""}, {""kanji"": ""水"", ""reading"": ""みず""}, {""text"": ""を ___ たいです。""}]}, ""choices"": [""のみ"", ""たべ"", ""かい""], ""answer"": 0}]"
13,3,Đi/đến/về đâu để làm gì,N5,basic,N1(địa điểm) へ Vます / N (danh động từ) に 行きます/来ます/帰ります,Đi/Đến/Về N1 để làm V/N,Diễn tả mục đích của việc di chuyển hướng tới một địa điểm.,Vます phải bỏ đuôi ます. N phải là danh từ mang tính hành động (danh động từ).,"[{""segments"": [{""kanji"": ""日本"", ""reading"": ""にほん""}, {""text"": ""へ ""}, {""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": ""を ""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": ""しに ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きます。""}], ""vi"": ""Tôi đi Nhật để học tiếng Nhật.""}, {""segments"": [{""text"": ""スーパーへ ""}, {""kanji"": ""買"", ""reading"": ""か""}, {""text"": ""い""}, {""kanji"": ""物"", ""reading"": ""もの""}, {""text"": ""に ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きます。""}], ""vi"": ""Tôi đi siêu thị để mua sắm.""}]","[{""question"": {""segments"": [{""text"": ""デパートへ ""}, {""kanji"": ""靴"", ""reading"": ""くつ""}, {""text"": ""を ""}, {""kanji"": ""買"", ""reading"": ""か""}, {""text"": ""い ___ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きます。""}]}, ""choices"": [""に"", ""へ"", ""を""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""日本"", ""reading"": ""にほん""}, {""text"": ""へ ""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": "" ___ ""}, {""kanji"": ""来"", ""reading"": ""き""}, {""text"": ""ました。""}]}, ""choices"": [""に"", ""を"", ""へ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""どこへ ""}, {""kanji"": ""遊"", ""reading"": ""あそ""}, {""text"": ""び ___ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きますか。""}]}, ""choices"": [""に"", ""を"", ""へ""], ""answer"": 0}]"
13,4,"Cái gì đó, đâu đó",N5,basic,なにか ／ どこか,Cái gì đó / Đâu đó,"Dùng để chỉ các đối tượng, địa điểm không xác định rõ ràng.",Thường dùng trong câu hỏi nghi vấn (trả lời bằng Hai/Iie). Có thể lược bỏ trợ từ を hoặc へ sau các từ này.,"[{""segments"": [{""kanji"": ""喉"", ""reading"": ""のど""}, {""text"": ""がかわきましたから、""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": ""か ""}, {""kanji"": ""飲"", ""reading"": ""の""}, {""text"": ""みたいです。""}], ""vi"": ""Vì khát nên tôi muốn uống cái gì đó.""}, {""segments"": [{""kanji"": ""明日"", ""reading"": ""あした""}, {""text"": ""、どこか ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きますか。""}], ""vi"": ""Ngày mai bạn có đi đâu đó không?""}]","[{""question"": {""segments"": [{""text"": ""___ ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べたいですか。...はい、パンを""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べたいです。""}]}, ""choices"": [""なにを"", ""なにか"", ""だれか""], ""answer"": 1}, {""question"": {""segments"": [{""kanji"": ""休"", ""reading"": ""やす""}, {""text"": ""みの""}, {""kanji"": ""日"", ""reading"": ""ひ""}, {""text"": ""、___ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きましたか。...いいえ、どこも""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きませんでした。""}]}, ""choices"": [""どこへ"", ""どこか"", ""どこも""], ""answer"": 1}, {""question"": {""segments"": [{""kanji"": ""喉"", ""reading"": ""のど""}, {""text"": ""がかわきましたから、___ ""}, {""kanji"": ""飲"", ""reading"": ""の""}, {""text"": ""みたいです。""}]}, ""choices"": [""なにか"", ""なにを"", ""なにも""], ""answer"": 0}]"
14,1,Cách chia thể て,N5,basic,Vます -> Vて,Thể Te,Là hình thức biến đổi của động từ để kết hợp với các mẫu câu khác.,"Nhóm I: Biến đổi đuôi âm i; Nhóm II: Bỏ ます thêm て; Nhóm III: します->して, きます->きて.","[{""segments"": [{""kanji"": ""書"", ""reading"": ""か""}, {""text"": ""きます -> ""}, {""kanji"": ""書"", ""reading"": ""か""}, {""text"": ""いて""}], ""vi"": ""viết""}, {""segments"": [{""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べます -> ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べて""}], ""vi"": ""ăn""}]","[{""question"": {""segments"": [{""text"": ""「はなします」の thể て は""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": ""ですか。""}]}, ""choices"": [""はなして"", ""はなして"", ""はなすて""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""「かえります」の thể て は""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": ""ですか。""}]}, ""choices"": [""かえりて"", ""かえって"", ""かえんで""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""「きます (đến)」の thể て は""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": ""ですか。""}]}, ""choices"": [""きいて"", ""きって"", ""きて""], ""answer"": 2}]"
14,2,Mẫu câu Vてください,N5,basic,Vてください,Hãy làm V đi!,"Dùng để sai khiến, yêu cầu, khuyên nhủ hoặc nhờ vả ai đó.",Khi nhờ vả thường thêm 「すみませんが」 ở đầu câu.,"[{""segments"": [{""kanji"": ""名前"", ""reading"": ""なまえ""}, {""text"": ""を ""}, {""kanji"": ""教"", ""reading"": ""おし""}, {""text"": ""えてください。""}], ""vi"": ""Hãy cho tôi biết tên bạn.""}, {""segments"": [{""kanji"": ""薬"", ""reading"": ""くすり""}, {""text"": ""を ""}, {""kanji"": ""飲"", ""reading"": ""の""}, {""text"": ""んでください。""}], ""vi"": ""Hãy uống thuốc đi.""}]","[{""question"": {""segments"": [{""text"": ""すみませんが、""}, {""kanji"": ""住所"", ""reading"": ""じゅうしょ""}, {""text"": ""を ___ ください。""}]}, ""choices"": [""おしえて"", ""おしえ"", ""おしえる""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""寒"", ""reading"": ""さむ""}, {""text"": ""いですね。ドアを ___ ください。""}]}, ""choices"": [""しめって"", ""しめて"", ""しめ""], ""answer"": 1}, {""question"": {""segments"": [{""kanji"": ""写真"", ""reading"": ""しゃしん""}, {""text"": ""を ___ ください。""}]}, ""choices"": [""とって"", ""とりて"", ""とる""], ""answer"": 0}]"
14,3,Mẫu câu Vています,N5,basic,Vています,Đang làm V,Dùng để biểu hiện hành động đang diễn ra tại thời điểm nói.,Phải chia động từ về thể て trước khi thêm います.,"[{""segments"": [{""kanji"": ""今"", ""reading"": ""いま""}, {""text"": ""、""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": ""しています。""}], ""vi"": ""Bây giờ tôi đang học bài.""}, {""segments"": [{""kanji"": ""雨"", ""reading"": ""あめ""}, {""text"": ""が ""}, {""kanji"": ""降"", ""reading"": ""ふ""}, {""text"": ""っています。""}], ""vi"": ""Trời đang mưa.""}]","[{""question"": {""segments"": [{""text"": ""ズンさんは ""}, {""kanji"": ""今"", ""reading"": ""いま""}, {""kanji"": ""教室"", ""reading"": ""きょうしつ""}, {""text"": ""で ___ 。""}]}, ""choices"": [""べんきょうして"", ""べんきょうします"", ""べんきょうしています""], ""answer"": 2}, {""question"": {""segments"": [{""text"": ""あ、""}, {""kanji"": ""雨"", ""reading"": ""あめ""}, {""text"": ""が ___ います。""}]}, ""choices"": [""ふって"", ""ふりて"", ""ふって""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""今"", ""reading"": ""いま""}, {""text"": ""、""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": ""を ___ か。""}]}, ""choices"": [""します"", ""して"", ""しています""], ""answer"": 2}]"
14,4,Mẫu câu Vましょうか,N5,basic,Vましょうか,Để tôi làm V giúp nhé!,Dùng khi người nói muốn đề nghị làm một việc gì đó giúp người nghe.,Trả lời đồng ý: 「お願いします」; Từ chối: 「結構です」.,"[{""segments"": [{""kanji"": ""窓"", ""reading"": ""まど""}, {""text"": ""を あけましょうか。""}], ""vi"": ""Để tôi mở cửa sổ cho nhé?""}, {""segments"": [{""kanji"": ""荷物"", ""reading"": ""にもつ""}, {""text"": ""を ""}, {""kanji"": ""持"", ""reading"": ""も""}, {""text"": ""ちましょうか。""}], ""vi"": ""Để tôi cầm hành lý giúp bạn nhé?""}]","[{""question"": {""segments"": [{""kanji"": ""荷物"", ""reading"": ""にもつ""}, {""text"": ""が ""}, {""kanji"": ""重"", ""reading"": ""おも""}, {""text"": ""いですね。 ___ か。""}]}, ""choices"": [""持ちましょう"", ""持ちます"", ""持って""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""暑"", ""reading"": ""あつ""}, {""text"": ""いですね。エアコンを ___ か。""}]}, ""choices"": [""つけます"", ""つけましょう"", ""つけて""], ""answer"": 1}, {""question"": {""segments"": [{""kanji"": ""写真"", ""reading"": ""しゃしん""}, {""text"": ""を ___ か。""}]}, ""choices"": [""とりましょう"", ""とります"", ""とって""], ""answer"": 0}]"
15,1,Xin phép làm gì (Vてもいいですか),N5,basic,Vてもいいですか,Làm V có được không?,Dùng để xin phép thực hiện một hành động nào đó.,"Trả lời đồng ý: ""はい、いいですよ"". Từ chối khéo: ""すみません、ちょっと..."".","[{""segments"": [{""text"": ""ここに ""}, {""kanji"": ""座"", ""reading"": ""すわ""}, {""text"": ""ってもいいですか。""}], ""vi"": ""Tôi ngồi đây có được không?""}, {""segments"": [{""kanji"": ""先"", ""reading"": ""さき""}, {""text"": ""に ""}, {""kanji"": ""帰"", ""reading"": ""かえ""}, {""text"": ""っても ""}, {""kanji"": ""いい"", ""reading"": ""いい""}, {""text"": ""ですか。""}], ""vi"": ""Tôi về trước có được không?""}]","[{""question"": {""segments"": [{""kanji"": ""窓"", ""reading"": ""まど""}, {""text"": ""を ___ もいいですか。""}]}, ""choices"": [""あけて"", ""あけ"", ""あけます""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""写真"", ""reading"": ""しゃしん""}, {""text"": ""を ""}, {""kanji"": ""撮"", ""reading"": ""と""}, {""text"": ""って ___ いいですか。""}]}, ""choices"": [""も"", ""は"", ""が""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""ここに ""}, {""kanji"": ""座"", ""reading"": ""すわ""}, {""text"": ""ってもいいですか。...ええ、 ___ 。""}]}, ""choices"": [""いいですよ"", ""いけません"", ""だめです""], ""answer"": 0}]"
15,2,Cấm đoán (Vてはいけません),N5,basic,Vてはいけません,Không được làm V,Dùng để ra lệnh cấm hoặc thể hiện quy định không được phép làm gì.,Thường dùng trong các thông báo công cộng hoặc khi người trên nói với người dưới.,"[{""segments"": [{""kanji"": ""車"", ""reading"": ""くるま""}, {""text"": ""の""}, {""kanji"": ""中"", ""reading"": ""なか""}, {""text"": ""で お""}, {""kanji"": ""酒"", ""reading"": ""さけ""}, {""text"": ""を ""}, {""kanji"": ""飲"", ""reading"": ""の""}, {""text"": ""んではいけません。""}], ""vi"": ""Không được uống rượu trong xe.""}, {""segments"": [{""kanji"": ""教室"", ""reading"": ""きょうしつ""}, {""text"": ""で ""}, {""kanji"": ""携帯"", ""reading"": ""けいたい""}, {""text"": ""を""}, {""kanji"": ""使"", ""reading"": ""つか""}, {""text"": ""ってはいけません。""}], ""vi"": ""Không được dùng điện thoại trong lớp.""}]","[{""question"": {""segments"": [{""text"": ""ここに ""}, {""kanji"": ""車"", ""reading"": ""くるま""}, {""text"": ""を ___ はいけません。""}]}, ""choices"": [""とめて"", ""とめ"", ""とまります""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""教室"", ""reading"": ""きょうしつ""}, {""text"": ""で ""}, {""kanji"": ""携帯"", ""reading"": ""けいたい""}, {""text"": ""を ___ はいけません。""}]}, ""choices"": [""つかって"", ""つかい"", ""つかう""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""お ""}, {""kanji"": ""酒"", ""reading"": ""さけ""}, {""text"": ""を ___ はいけません。""}]}, ""choices"": [""のんでは"", ""のんては"", ""のんで""], ""answer"": 0}]"
15,3,Trạng thái và Tập quán (Vています),N5,basic,Vています,Đang... / Đã và đang...,Diễn tả một trạng thái là kết quả của hành động trong quá khứ hoặc một thói quen lặp lại.,"Các động từ trạng thái thường gặp: 住んでいます (sống), 知っています (biết), 結婚しています (kết hôn).","[{""segments"": [{""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""は ハノイに ""}, {""kanji"": ""住"", ""reading"": ""す""}, {""text"": ""んでいます。""}], ""vi"": ""Tôi đang sống ở Hà Nội.""}, {""segments"": [{""text"": ""Dung""}, {""kanji"": ""校長"", ""reading"": ""こうちょう""}, {""text"": ""は ""}, {""kanji"": ""結婚"", ""reading"": ""けっこん""}, {""text"": ""しています。""}], ""vi"": ""Hiệu trưởng Dũng đã kết hôn.""}]","[{""question"": {""segments"": [{""text"": ""わたしは ハノイに ___ います。""}]}, ""choices"": [""すんで"", ""すみ"", ""すみます""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""山田先生"", ""reading"": ""やまだせんせい""}, {""text"": ""を ___ いますか。""}]}, ""choices"": [""しって"", ""しり"", ""しる""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""毎日"", ""reading"": ""まいにち""}, {""text"": "" ""}, {""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": ""を ___ います。""}]}, ""choices"": [""べんきょうして"", ""べんきょうし"", ""べんきょうした""], ""answer"": 0}]"
16,1,Liệt kê hành động theo trình tự,N5,basic,V1て、V2て、……Vます,"Làm V1, làm V2 rồi làm ~",Dùng để liệt kê hai hay nhiều hành động xảy ra liên tiếp theo thứ tự thời gian.,Thì của toàn bộ câu được quyết định bởi thì của động từ cuối cùng.,"[{""segments"": [{""kanji"": ""日曜日"", ""reading"": ""にちようび""}, {""text"": "" ""}, {""kanji"": ""京都"", ""reading"": ""きょうと""}, {""text"": ""へ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""って、""}, {""kanji"": ""友達"", ""reading"": ""ともだち""}, {""text"": ""に ""}, {""kanji"": ""会"", ""reading"": ""あ""}, {""text"": ""いました。""}], ""vi"": ""Chủ nhật tôi đi Kyoto rồi gặp bạn.""}, {""segments"": [{""kanji"": ""今朝"", ""reading"": ""けさ""}, {""text"": "" ""}, {""kanji"": ""起"", ""reading"": ""お""}, {""text"": ""きて、シャワーを ""}, {""kanji"": ""浴"", ""reading"": ""あ""}, {""text"": ""びて、ズン""}, {""kanji"": ""森"", ""reading"": ""もり""}, {""text"": ""へ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きました。""}], ""vi"": ""Sáng nay tôi dậy, tắm vòi hoa sen rồi đến Dũng Mori.""}]","[{""question"": {""segments"": [{""kanji"": ""昨日"", ""reading"": ""きのう""}, {""text"": ""の ""}, {""kanji"": ""晩"", ""reading"": ""ばん""}, {""text"": ""、 ""}, {""kanji"": ""食事"", ""reading"": ""しょくじ""}, {""text"": "" ___ 、 ""}, {""kanji"": ""映画"", ""reading"": ""えいが""}, {""text"": ""を ""}, {""kanji"": ""見"", ""reading"": ""み""}, {""text"": ""ました。""}]}, ""choices"": [""して"", ""します"", ""した""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""今朝"", ""reading"": ""けさ""}, {""text"": "" ""}, {""kanji"": ""起"", ""reading"": ""お""}, {""text"": ""きて、シャワーを ___ 、 ""}, {""kanji"": ""学校"", ""reading"": ""がっこう""}, {""text"": ""へ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きました。""}]}, ""choices"": [""浴びる"", ""浴びて"", ""浴びます""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""Thì của câu 'V1て、V2て、V3ます' được quyết định bởi ___ 。""}]}, ""choices"": [""V1"", ""V2"", ""V3""], ""answer"": 2}]"
16,2,Nối tính từ và danh từ,N5,basic,Aい -> ～くて / Aな・N -> で,[Tính chất 1] và [Tính chất 2] / Là N1 và N2,Dùng để nối hai hoặc nhiều tính từ hoặc danh từ trong cùng một câu miêu tả.,Tính từ đuôi い bỏ い thêm くて. Tính từ đuôi な và danh từ thêm で.,"[{""segments"": [{""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""の""}, {""kanji"": ""部屋"", ""reading"": ""へや""}, {""text"": ""は ""}, {""kanji"": ""広"", ""reading"": ""ひろ""}, {""text"": ""くて、""}, {""kanji"": ""明"", ""reading"": ""あか""}, {""text"": ""るいです。""}], ""vi"": ""Phòng của tôi rộng và sáng.""}, {""segments"": [{""kanji"": ""木村"", ""reading"": ""きむら""}, {""text"": ""さんは ""}, {""kanji"": ""元気"", ""reading"": ""げんき""}, {""text"": ""で、""}, {""kanji"": ""親切"", ""reading"": ""しんせつ""}, {""text"": ""な""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""です。""}], ""vi"": ""Anh Kimura khỏe mạnh và là người tốt bụng.""}]","[{""question"": {""segments"": [{""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""の ""}, {""kanji"": ""部屋"", ""reading"": ""へや""}, {""text"": ""は ""}, {""kanji"": ""広"", ""reading"": ""ひろ""}, {""text"": "" ___ 、 ""}, {""kanji"": ""明るい"", ""reading"": ""あかるい""}, {""text"": ""です。""}]}, ""choices"": [""くて"", ""で"", ""に""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""木村"", ""reading"": ""きむら""}, {""text"": ""さんは ""}, {""kanji"": ""元気"", ""reading"": ""げんき""}, {""text"": "" ___ 、 ""}, {""kanji"": ""親切"", ""reading"": ""しんせつ""}, {""text"": ""な ""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""です。""}]}, ""choices"": [""くて"", ""で"", ""に""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""ベトナムの ""}, {""kanji"": ""食べ物"", ""reading"": ""たべもの""}, {""text"": ""は おいしく ___ 、 ""}, {""kanji"": ""安"", ""reading"": ""やす""}, {""text"": ""いです。""}]}, ""choices"": [""くて"", ""で"", ""も""], ""answer"": 0}]"
16,3,Trình tự hành động (Sau khi làm V1),N5,basic,V1てから、V2ます,Sau khi làm V1 thì làm V2,Dùng để nhấn mạnh rằng hành động V2 chỉ xảy ra sau khi hành động V1 đã kết thúc hoàn toàn.,Thì của câu cũng do động từ cuối cùng quyết định.,"[{""segments"": [{""text"": ""うちへ ""}, {""kanji"": ""帰"", ""reading"": ""かえ""}, {""text"": ""ってから、""}, {""kanji"": ""晩"", ""reading"": ""ばん""}, {""text"": ""ごはんを ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べました。""}], ""vi"": ""Sau khi về nhà, tôi đã ăn cơm tối.""}, {""segments"": [{""text"": ""レポートを ""}, {""kanji"": ""書"", ""reading"": ""か""}, {""text"": ""いてから、""}, {""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""に ""}, {""kanji"": ""送"", ""reading"": ""おく""}, {""text"": ""ってください。""}], ""vi"": ""Sau khi viết báo cáo xong hãy gửi cho tôi.""}]","[{""question"": {""segments"": [{""kanji"": ""宿題"", ""reading"": ""しゅくだい""}, {""text"": ""をして ___ 、 ""}, {""kanji"": ""遊"", ""reading"": ""あそ""}, {""text"": ""んでもいいですか。""}]}, ""choices"": [""から"", ""まで"", ""に""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""薬"", ""reading"": ""くすり""}, {""text"": ""を ___ から、お ""}, {""kanji"": ""酒"", ""reading"": ""さけ""}, {""text"": ""を ""}, {""kanji"": ""飲"", ""reading"": ""の""}, {""text"": ""んではいけません。""}]}, ""choices"": [""飲んで"", ""飲み"", ""飲む""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""仕事"", ""reading"": ""しごと""}, {""text"": ""が ___ から、 ""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": ""をしますか。""}]}, ""choices"": [""終わって"", ""終わり"", ""終わる""], ""answer"": 0}]"
16,4,Miêu tả đặc điểm (N1 có N2...),N5,basic,N1 は N2 が Tính từ です。,N1 có N2 [tính chất],Dùng để miêu tả một bộ phận hoặc đặc điểm của chủ ngữ N1.,N2 thường là bộ phận cơ thể hoặc thành phần thuộc N1.,"[{""segments"": [{""text"": ""ゾウは ""}, {""kanji"": ""鼻"", ""reading"": ""はな""}, {""text"": ""が ""}, {""kanji"": ""長"", ""reading"": ""なが""}, {""text"": ""いです。""}], ""vi"": ""Con voi có cái mũi dài.""}, {""segments"": [{""text"": ""ハノイは ""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""が""}, {""kanji"": ""多"", ""reading"": ""おお""}, {""text"": ""いです。""}], ""vi"": ""Hà Nội có nhiều người.""}]","[{""question"": {""segments"": [{""text"": ""マリアさんは ""}, {""kanji"": ""目"", ""reading"": ""め""}, {""text"": "" ___ きれいです。""}]}, ""choices"": [""が"", ""を"", ""は""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""この ""}, {""kanji"": ""部屋"", ""reading"": ""へや""}, {""text"": ""は ""}, {""kanji"": ""天井"", ""reading"": ""てんじょう""}, {""text"": "" ___ ""}, {""kanji"": ""高"", ""reading"": ""たか""}, {""text"": ""いです。""}]}, ""choices"": [""が"", ""に"", ""を""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""ゾウは ""}, {""kanji"": ""鼻"", ""reading"": ""はな""}, {""text"": "" ___ ""}, {""kanji"": ""長"", ""reading"": ""なが""}, {""text"": ""いです。""}]}, ""choices"": [""が"", ""を"", ""の""], ""answer"": 0}]"
16,5,Hỏi cách thức (Làm thế nào?),N5,basic,どうやって ～ Vますか。,Làm ~ bằng cách nào/như thế nào?,Dùng để hỏi về phương thức thực hiện hành động hoặc cách đi đến một địa điểm.,Khi trả lời thường dùng các mẫu liệt kê hành động (Vて) để chỉ dẫn.,"[{""segments"": [{""kanji"": ""大学"", ""reading"": ""だいがく""}, {""text"": ""まで どうやって ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きますか。""}], ""vi"": ""Đến trường đại học đi như thế nào?""}, {""segments"": [{""text"": ""この""}, {""kanji"": ""機械"", ""reading"": ""きかい""}, {""text"": ""は どうやって ""}, {""kanji"": ""使"", ""reading"": ""つか""}, {""text"": ""いますか。""}], ""vi"": ""Cái máy này dùng như thế nào?""}]","[{""question"": {""segments"": [{""text"": ""___ ""}, {""kanji"": ""会社"", ""reading"": ""かいしゃ""}, {""text"": ""へ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きますか。...バスで ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きます。""}]}, ""choices"": [""どうやって"", ""どの"", ""だれが""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""お ""}, {""kanji"": ""金"", ""reading"": ""かね""}, {""text"": ""を ___ ""}, {""kanji"": ""引"", ""reading"": ""ひ""}, {""text"": ""き""}, {""kanji"": ""出"", ""reading"": ""だ""}, {""text"": ""しますか (Rút tiền bằng cách nào)。""}]}, ""choices"": [""どうやって"", ""なにを"", ""どこで""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""その ""}, {""kanji"": ""漢字"", ""reading"": ""かんじ""}, {""text"": ""は ___ ""}, {""kanji"": ""書"", ""reading"": ""か""}, {""text"": ""きますか。""}]}, ""choices"": [""どうやって"", ""なんの"", ""どこ""], ""answer"": 0}]"
16,6,Từ nghi vấn (Cái nào?),N5,basic,どの N,N nào?,Dùng để xác định một đối tượng cụ thể trong một nhóm từ 3 đối tượng trở lên.,"Bắt buộc phải có danh từ (N) đi ngay sau ""どの"".","[{""segments"": [{""text"": ""サントスさんは どの""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""ですか。""}], ""vi"": ""Anh Santos là người nào?""}, {""segments"": [{""text"": ""あなたの""}, {""kanji"": ""靴"", ""reading"": ""くつ""}, {""text"": ""は どの""}, {""kanji"": ""靴"", ""reading"": ""くつ""}, {""text"": ""ですか。""}], ""vi"": ""Giày của bạn là đôi nào?""}]","[{""question"": {""segments"": [{""text"": ""___ ""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""が ミラーさんですか。""}]}, ""choices"": [""どの"", ""どれ"", ""だれ""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""田中"", ""reading"": ""たなか""}, {""text"": ""さんの ""}, {""kanji"": ""鞄"", ""reading"": ""かばん""}, {""text"": ""は ___ ですか。""}]}, ""choices"": [""どの鞄"", ""どれ鞄"", "" đâu 鞄""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""___ ""}, {""kanji"": ""傘"", ""reading"": ""かさ""}, {""text"": ""が あなたのですか。""}]}, ""choices"": [""どの"", ""どれ"", ""なに""], ""answer"": 0}]"
17,1,Cách chia động từ thể ない,N5,basic,Vない,Thể phủ định (ngắn),"Là hình thức phủ định của động từ dùng trong các cấu trúc yêu cầu, nghĩa vụ.","Nhóm I: Chuyển đuôi âm i sang a + ない (Riêng đuôi i → wa). Nhóm II: Bỏ masu + nai. Nhóm III: shimasu → shinai, kimasu → konai.","[{""segments"": [{""kanji"": ""書"", ""reading"": ""か""}, {""text"": ""きます -> ""}, {""kanji"": ""書"", ""reading"": ""か""}, {""text"": ""かない""}], ""vi"": ""không viết""}, {""segments"": [{""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べます -> ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べない""}], ""vi"": ""không ăn""}]","[{""question"": {""segments"": [{""text"": ""「かいます」の thể ない là gì?""}]}, ""choices"": [""かあない"", ""かわない"", ""かかない""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""「きます (đến)」の thể ない là gì?""}]}, ""choices"": [""かない"", ""きない"", ""こない""], ""answer"": 2}, {""question"": {""segments"": [{""text"": ""「あります」の thể ない là gì?""}]}, ""choices"": [""あらない"", ""あわない"", ""ない""], ""answer"": 2}]"
